Sheet,LP Objective,LP Time,MILP Objective,MILP Time
6-periods (1),51762.33714096161,0.035906076431274414,54875.0,0.05086565017700195
6-periods (2),104122.0020543255,0.03490853309631348,105079.0,0.07380270957946777
12-periods (1),40404.207129110364,0.030918121337890625,54291.0,0.056847572326660156
12-periods (2),41012.58134398307,0.029921293258666992,44793.0,0.057846784591674805
24-periods (1),73373.8713993069,0.0658254623413086,78316.0,0.10272479057312012
24-periods (2),86684.89444530741,0.026929855346679688,138648.0,0.08473777770996094
52-periods (1),138537.9676818897,0.025931358337402344,227604.0,0.12263298034667969
52-periods (2),132855.3915493592,0.04787397384643555,222695.0,0.14760518074035645
104-periods (1),223478.52111779765,0.03838992118835449,340375.0,0.14162254333496094
104-periods (2),427154.90555268107,0.03390836715698242,745111.9996716353,0.256314754486084
